type1,type1_states,type1_transitions,type2,type2_states,type2_transitions
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,6,6
NFA,3,7,DFA,4,4
NFA,3,7,DFA,6,6
NFA,3,8,DFA,4,4
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,7,DFA,6,6
NFA,3,8,DFA,4,4
NFA,3,8,DFA,6,6
NFA,3,9,DFA,4,4
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,9,DFA,2,2
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,9,DFA,2,2
NFA,3,10,DFA,3,3
NFA,3,7,DFA,6,6
NFA,3,8,DFA,4,4
NFA,3,8,DFA,6,6
NFA,3,9,DFA,4,4
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,8,DFA,6,6
NFA,3,9,DFA,4,4
NFA,3,9,DFA,6,6
NFA,3,10,DFA,4,4
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,10,DFA,5,5
NFA,3,11,DFA,3,3
NFA,3,3,DFA,2,2
NFA,3,3,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,3,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,3,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,3,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,4,DFA,4,4
NFA,3,5,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,3,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,4,DFA,4,4
NFA,3,5,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,5,DFA,5,5
NFA,3,6,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,4,DFA,5,5
NFA,3,5,DFA,4,4
NFA,3,5,DFA,5,5
NFA,3,6,DFA,4,4
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,5,DFA,5,5
NFA,3,6,DFA,4,4
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,5,5
NFA,3,6,DFA,4,4
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,7,DFA,5,5
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,5,5
NFA,3,6,DFA,4,4
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,7,DFA,5,5
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,7,DFA,5,5
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,4,4
NFA,3,8,DFA,5,5
NFA,3,9,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,9,DFA,2,2
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,9,DFA,2,2
NFA,3,10,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,4,4
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,4,4
NFA,3,9,DFA,4,4
NFA,3,10,DFA,4,4
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,10,DFA,4,4
NFA,3,11,DFA,3,3
NFA,3,4,DFA,2,2
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,4,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,4,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,4,4
NFA,3,6,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,3,3
NFA,3,8,DFA,3,3
NFA,3,9,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,7,DFA,5,5
NFA,3,8,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,9,DFA,2,2
NFA,3,8,DFA,2,2
NFA,3,9,DFA,3,3
NFA,3,9,DFA,2,2
NFA,3,10,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,8,DFA,5,5
NFA,3,9,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,9,DFA,4,4
NFA,3,10,DFA,3,3
NFA,3,9,DFA,5,5
NFA,3,10,DFA,3,3
NFA,3,10,DFA,5,5
NFA,3,11,DFA,3,3
NFA,3,5,DFA,2,2
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,5,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,5,DFA,5,5
NFA,3,6,DFA,4,4
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,6,DFA,4,4
NFA,3,7,DFA,3,3
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,6,DFA,5,5
NFA,3,7,DFA,4,4
NFA,3,7,DFA,5,5
NFA,3,8,DFA,4,4
NFA,3,7,DFA,4,4
NFA,3,8,DFA,3,3
NFA,3,8,DFA,4,4
NFA,3,9,DFA,3,3
NFA,3,5,DFA,3,3
NFA,3,6,DFA,2,2
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,6,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,8,DFA,3,3
NFA,3,6,DFA,3,3
NFA,3,7,DFA,2,2
NFA,3,7,DFA,3,3
NFA,3,8,DFA,2,2
